City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Lagoa,39.05,-27.9833,56.84,87,100,9.53,PT,2022-01-18 16:45:10
102,Geraldton,-28.7667,114.6,85.12,61,40,5.75,AU,2022-01-18 16:45:10
103,Lazarev,52.225,141.5131,-11.09,94,80,5.59,RU,2022-01-18 16:45:11
104,Moose Factory,51.2585,-80.6094,-16.6,69,0,6.91,CA,2022-01-18 16:45:11
105,Lumphat,13.4878,106.9816,71.62,71,89,9.35,KH,2022-01-18 16:45:11
106,Provideniya,64.3833,-173.3,-9.6,84,10,6.06,RU,2022-01-18 16:45:11
107,Stavern,59.0,10.0333,45.32,87,100,10.98,NO,2022-01-18 16:45:11
108,Klyuchi,52.2667,79.1667,2.64,99,53,4.56,RU,2022-01-18 16:45:12
109,Katsuura,35.1333,140.3,41.02,47,19,18.48,JP,2022-01-18 16:45:12
110,Sambava,-14.2667,50.1667,80.24,82,100,5.1,MG,2022-01-18 16:44:58
111,Dergachi,51.2328,48.7659,28.33,91,100,15.3,RU,2022-01-18 16:45:12
112,Carnarvon,-24.8667,113.6333,80.67,74,43,11.5,AU,2022-01-18 16:45:13
113,Hithadhoo,-0.6,73.0833,82.35,76,100,10.2,MV,2022-01-18 16:45:13
114,Shache,38.4167,77.2406,29.37,35,0,4.68,CN,2022-01-18 16:45:13
115,Hasaki,35.7333,140.8333,32.4,44,1,15.52,JP,2022-01-18 16:45:14
116,Surt,31.2089,16.5887,59.23,68,78,18.16,LY,2022-01-18 16:45:14
117,Kapaa,22.0752,-159.319,71.58,78,100,8.05,US,2022-01-18 16:45:14
118,Kidal,18.4411,1.4078,71.29,10,0,13.94,ML,2022-01-18 16:45:14
119,Dudinka,69.4058,86.1778,7.63,92,100,18.07,RU,2022-01-18 16:45:15
120,Brigantine,39.4101,-74.3646,40.33,56,100,17.27,US,2022-01-18 16:45:15
121,Ishigaki,24.3448,124.1572,66.29,80,100,26.64,JP,2022-01-18 16:45:15
122,Uruana,-15.4981,-49.6875,83.66,61,12,3.24,BR,2022-01-18 16:45:15
123,Kodiak,57.79,-152.4072,31.51,86,100,0.0,US,2022-01-18 16:45:16
124,Kralendijk,12.15,-68.2667,84.18,65,75,13.8,BQ,2022-01-18 16:45:16
125,Lingyuan,41.24,119.4011,9.9,70,7,6.46,CN,2022-01-18 16:45:16
126,Buchanan,5.8808,-10.0467,89.56,68,10,12.15,LR,2022-01-18 16:45:16
127,Iracoubo,5.4802,-53.2011,80.22,78,60,7.4,GF,2022-01-18 16:45:17
128,Tiksi,71.6872,128.8694,1.33,77,100,23.71,RU,2022-01-18 16:45:17
129,Bratsk,56.1325,101.6142,12.69,97,100,3.38,RU,2022-01-18 16:45:17
130,Svetlaya,46.5389,138.3297,12.0,74,97,7.78,RU,2022-01-18 16:45:18
131,Tolaga Bay,-38.3667,178.3,59.43,63,64,3.18,NZ,2022-01-18 16:45:18
132,Gazanjyk,39.2446,55.5154,36.59,85,100,2.64,TM,2022-01-18 16:45:18
133,Lorengau,-2.0226,147.2712,80.51,84,100,15.79,PG,2022-01-18 16:45:18
134,Port Blair,11.6667,92.75,78.64,74,63,7.65,IN,2022-01-18 16:45:19
135,Severobaykalsk,55.65,109.3167,0.54,89,98,3.15,RU,2022-01-18 16:45:19
136,Jiancheng,30.391,104.5491,45.61,67,100,2.1,CN,2022-01-18 16:45:19
137,Havoysund,70.9963,24.6622,36.48,99,100,25.93,NO,2022-01-18 16:45:19
138,Yulara,-25.2406,130.9889,69.64,83,100,11.5,AU,2022-01-18 16:45:20
139,Ibra,22.6906,58.5334,75.15,51,0,3.78,OM,2022-01-18 16:45:20
140,Sur,22.5667,59.5289,74.93,71,0,11.68,OM,2022-01-18 16:45:20
141,Aksarka,66.5606,67.7975,-18.63,99,83,5.23,RU,2022-01-18 16:45:20
142,Thinadhoo,0.5333,72.9333,83.03,76,99,13.85,MV,2022-01-18 16:45:21
143,Haverfordwest,51.8017,-4.9691,48.16,88,67,1.99,GB,2022-01-18 16:45:21
144,Angoche,-16.2325,39.9086,78.21,88,65,6.87,MZ,2022-01-18 16:45:21
145,San Jose,37.3394,-121.895,54.86,85,100,4.61,US,2022-01-18 16:41:45
146,East London,-33.0153,27.9116,74.34,73,75,24.16,ZA,2022-01-18 16:42:36
147,Coquimbo,-29.9533,-71.3436,67.73,59,0,14.97,CL,2022-01-18 16:45:21
148,Saint-Joseph,-21.3667,55.6167,80.98,85,100,2.75,RE,2022-01-18 16:45:22
149,Sandpoint,48.2766,-116.5533,35.44,91,100,8.05,US,2022-01-18 16:44:38
150,Mujiayingzi,42.1167,118.7833,6.3,60,8,1.99,CN,2022-01-18 16:45:22
151,Nsanje,-16.92,35.262,77.61,82,86,5.44,MW,2022-01-18 16:45:22
152,Bethel,41.3712,-73.414,35.04,54,62,13.0,US,2022-01-18 16:45:23
153,Khatanga,71.9667,102.5,-21.32,98,41,4.68,RU,2022-01-18 16:45:23
154,Avarua,-21.2078,-159.775,78.85,89,100,11.5,CK,2022-01-18 16:45:23
155,Bambanglipuro,-7.95,110.2833,64.6,89,72,7.02,ID,2022-01-18 16:45:23
156,Katete,-0.7818,29.7544,61.59,97,100,0.89,UG,2022-01-18 16:45:24
157,Ribeira Grande,38.5167,-28.7,63.0,72,20,5.75,PT,2022-01-18 16:45:24
158,Muzhi,65.3667,64.6667,1.54,93,97,0.63,RU,2022-01-18 16:45:24
159,Aktash,50.3,87.7333,2.98,96,92,3.62,RU,2022-01-18 16:45:24
160,Ahipara,-35.1667,173.1667,61.3,88,14,4.88,NZ,2022-01-18 16:45:25
161,Bardiyah,31.7561,25.0865,55.9,80,11,18.92,LY,2022-01-18 16:45:25
162,Mar Del Plata,-38.0023,-57.5575,66.22,81,100,13.0,AR,2022-01-18 16:45:25
163,Yar-Sale,66.8333,70.8333,-15.2,100,45,4.07,RU,2022-01-18 16:45:25
164,Guasdualito,7.2424,-70.7324,85.96,69,40,4.61,VE,2022-01-18 16:45:26
165,Mount Isa,-20.7333,139.5,76.77,94,100,10.36,AU,2022-01-18 16:45:26
166,Saru Dornei,47.2833,25.35,21.4,78,99,4.23,RO,2022-01-18 16:45:26
167,Camocim,-2.9022,-40.8411,85.03,68,51,17.38,BR,2022-01-18 16:45:26
168,Westport,41.1415,-73.3579,37.18,49,40,1.99,US,2022-01-18 16:45:27
169,Novobirilyussy,56.9514,90.6661,9.79,94,28,7.58,RU,2022-01-18 16:45:27
170,Cabo San Lucas,22.8909,-109.9124,94.3,46,81,2.01,MX,2022-01-18 16:45:28
171,Tagusao,9.1924,117.8141,78.08,78,77,8.88,PH,2022-01-18 16:45:28
172,Chik,54.9928,82.4311,11.95,85,0,8.95,RU,2022-01-18 16:45:28
173,Fortuna,40.5982,-124.1573,45.66,92,59,1.01,US,2022-01-18 16:45:28
174,Kibala,9.1104,18.3463,87.75,19,0,9.22,TD,2022-01-18 16:45:29
175,Wanlaweyn,2.6185,44.8938,80.1,64,30,19.37,SO,2022-01-18 16:45:29
176,Gambela,8.25,34.5833,82.49,27,71,0.89,ET,2022-01-18 16:45:29
177,Cascais,38.6979,-9.4215,60.51,55,0,1.99,PT,2022-01-18 16:45:29
178,Gazimurskiy Zavod,51.5461,118.3266,-27.87,100,7,1.68,RU,2022-01-18 16:45:30
